id_penyakit,Nama_Penyakit,links-href,Deskripsi_Penyakit_1,Deskripsi_Penyakit_2,Anjuran_Penanganan_1,Anjuran_Penangan_2
1,Abses Anus,https://www.klikdokter.com/penyakit/masalah-pencernaan/abses-anus,"Abses anus merupakan kondisi di mana terdapat pengumpulan pus atau nanah di sekitar anus, yang disertai rasa nyeri. Sebagian besar kasus abses anus disebabkan oleh infeksi pada kelenjar-kelenjar kecil yang terdapat di sekitar anus.","Tipe abses anus yang paling umum terjadi adalah abses perianal. Kondisi ini paling sering tampak sebagai benjolan yang menyerupai bisul di sekitar anus, yang dapat berwarna merah dan teraba hangat. Abses anus yang berlokasi di jaringan yang berposisi lebih dalam lebih jarang ditemui, dan dapat tidak tampak.","Penanganan dari abses anus pada sebagian besar kasus adalah dengan drainase pembedahan, di mana dilakukan insisi di sekitar anus untuk melakukan drainase dari abses tersebut. Penanganan untuk mengalirkan isi dari abses penting untuk dilakukan, sebelum abses pecah.","Abses anus yang dangkal dapat ditindaklanjuti menggunakan obat bius lokal. Namun abses anus yang dalam, bisa saja membutuhkan perawatan inap serta melibatkan dokter spesialis anestesiologi untuk pembiusan. Setelah prosedur penanganan, dokter dapat meresepkan pengobatan untuk mengatasi nyeri atau antibiotik bila dinilai dibutuhkan."
2,Asam Urat,https://www.klikdokter.com/penyakit/masalah-otot-dan-sendi/asam-urat,Penyakit asam urat atau dalam bahasa medis dikenal dengan sebutan gout adalah suatu kondisi medis dimana terjadi gangguan metabolisme asam urat di dalam tubuh. Akibatnya terjadi peningkatan kadar asam urat dalam tubuh.,Kristal uric acid yang berlebihan akan menumpuk di jaringan tubuh dan menyebabkan inflamasi (peradangan) pada persendian (artritis).,"Ketika serangan akut, disarankan untuk konsumsi obat antinyeri dan antiradang untuk mengatasi nyeri dan radang yang dialami. Setelah itu dapat konsumsi obat untuk membantu mengontrol kadar asam urat dalam darah.","Jika keluhan tidak kunjung membaik, sangat disarankan untuk melakukan pemeriksaan diri ke dokter untuk evaluasi klinis dan tatalaksana lebih lanjut."
3,Batu Empedu,https://www.klikdokter.com/penyakit/masalah-pencernaan/batu-empedu,"Batu empedu adalah hasil dari endapan cairan empedu yang memadat menjadi partikel keras menyerupai potongan batu, seperti batu kerikil. Umumnya, batu ini terbentuk di kantong dan atau saluran empedu. Jika batu empedu masuk ke dalam saluran empedu, dapat terjadi penyumbatan dan infeksi pada saluran empedu (kolangitis).","Penyumbatan yang terjadi pada saluran empedu ini akan membuat bakteri tumbuh dan berkembang. Akibatnya, timbullah infeksi di dalam saluran. Bakteri tersebut juga bisa menyebar melalui aliran darah dan menyebabkan infeksi di bagian tubuh lainnya.","Pengobatan batu empedu harus disesuaikan pada dampak yang ditimbulkan. Bila batu tidak menimbulkan keluhan berarti, umumnya tidak dilakukan prosedur pembedahan. Dokter akan menyarankan perubahan gaya hidup.",Segera periksakan diri Anda bila mengalami nyeri perut berkepanjangan yang disertai dengan mual muntah dan atau nyeri yang menjalar ke bahu. 
4,Bintitan,https://www.klikdokter.com/penyakit/masalah-mata/bintitan,"Definisi bintitan, atau dalam dunia medis dikenal dengan istilah hordeolum, adalah benjolan nyeri di kelopak mata (atas ataupun bawah). Benjolan yang berisi nanah ini bisa terdapat pada kelopak mata bagian dalam maupun luar. Bintitan terjadi karena adanya infeksi pada kelenjar di kelopak mata.","Hindari memegang –apalagi memecahkan bintitan. Melakukan hal tersebut hanya akan membuat infeksi semakin menyebar. Meski demikian, Anda dapat membersihkan kelopak mata Anda dengan cairan antiseptik.","Untuk mengatasi bintitan, Anda dapat mengompres mata dengan kompres hangat, empat kali sehari selama sepuluh menit. Kompres ini akan membantu nanah untuk lebih mudah keluar.",
5,Bisul,https://www.klikdokter.com/penyakit/masalah-infeksi/bisul,"Bisul (furunkel) adalah infeksi bakteri yang memicu peradangan di dalam folikel rambut (lubang tempat rambut tumbuh). Pada awalnya, kulit di daerah infeksi menjadi merah dan muncul benjolan. Setelah empat sampai tujuh hari, benjolan tersebut mulai berisi nanah dan terasa sakit.","Bisul biasanya muncul pada area kulit yang memiliki rambut, sering berkeringat, dan bergesekan –seperti leher, wajah, ketiak, bokong, dan paha. Namun, tidak menutup kemungkinan bisul muncul di permukaan.","Bisul umumnya dapat sembuh sendiri tanpa perawatan medis. Namun, Anda harus segera memeriksa diri ke dokter apabila memiliki kondisi bisul berikut: Muncul di wajah, hidung, atau tulang belakang (Ini bisa memicu terjadinya komplikasi), Membesar hingga berukuran diameter lebih dari 5 cm, Tidak sembuh dalam 14 hari.","Anda juga disarankan untuk berkonsultasi ke dokter apabila muncul bisul sabut, atau merasakan gejala bisul tambahan seperti demam. Dokter biasanya mendiagnosis bisul hanya dengan melihat kondisi kulit pasien. Jika infeksi tersebut berulang atau tidak teratasi dengan pengobatan yang sebelumnya diberikan, dokter akan menyarankan pemeriksaan penunjang berupa tes darah di laboratorium. Pemeriksaan ini dilakukan untuk menentukan antibiotik yang tepat untuk melawan bakteri penyebab bisul."
6,Cacar Air,https://www.klikdokter.com/penyakit/masalah-kulit/cacar-air,Cacar air (chickenpox) adalah penyakit infeksi akut yang disebabkan oleh Varicella zoster. Penyakit infeksi ini juga disebut dengan nama varisela.,"Sama seperti penyakit lainnya yang disebabkan oleh virus, chickenpox bisa sembuh dengan sendirinya atau bersifat self limiting disease.","Namun, jika Anda tidak yakin apakah gejala yang muncul adalah cacar air, Anda bisa memastikannya pada dokter.",
7,Cacingan,https://www.klikdokter.com/penyakit/masalah-pencernaan/cacingan,Cacing adalah salah satu parasit yang bisa masuk ke dalam tubuh sehingga menyebabkan gejala penyakit. Kondisi ini disebut cacingan.,Cacingan sendiri secara umum merujuk pada infeksi cacing dalam tubuh manusia.,"Segera periksa ke dokter jika cacingan yang diderita menyebabkan lemas, terlihat pucat, dan sulit beraktivitas.",
8,Campak,https://www.klikdokter.com/penyakit/masalah-kulit/campak,"Campak adalah infeksi yang disebabkan oleh virus. Gejala campak berupa ruam merah pada seluruh tubuh yang disertai demam, batuk, dan pilek.",,"Penyakit ini mudah menular. Oleh karena itu, hindari kontak langsung dengan orang-orang yang rentan terhadap infeksi virus ini – seperti anak kecil dan wanita hamil.","Pasien campak tanpa komplikasi dapat melakukan rawat jalan. Sementara itu, rawap inap diperlukan jika pasien mengalami komplikasi, seperti dehidrasi, infeksi saluran pernapasan, kesulitan untuk mendapatkan asupan, dan sebagainya."
9,Demam,https://www.klikdokter.com/penyakit/masalah-kesehatan-umum/demam,"Demam adalah kondisi meningkatnya suhu tubuh di atas rata-rata suhu harian. Orang dewasa dianggap demam apabila pengukuran suhu oral (lewat mulut) di atas 38 derajat Celsius, atau suhu rektal (diukur melalui anus) maupun telinga di atas 38,3 derajat Celsius. Namun, demam sering kali baru menjadi perhatian jika suhu sudah mencapai >39,4 derajat Celsius.","Sementara itu, anak dan balita dianggap demam apabila suhu rektalnya >38 derajat Celsius. Suhu tubuh yang meningkat (walaupun sedikit) dapat merupakan tanda dari infeksi yang serius. Obat penurun demam seperti paracetamol atau ibuprofen dapat digunakan. Namun, perlu diingat, obat ini hanya mengatasi gejala demam, bukan untuk mengatasi penyakit yang mendasari.","segera temui dokter khususnya bila demam dan diikuti dengan kondisi: Demam tinggi mencapai >39,4 derajat Celsius, Demam berlangsung lebih dari 3 hari atau hilang timbul selama >7 hari","Demam disertai salah satu atau lebih gejala berikut juga memerlukan pemeriksaan dokter dengan segera: Ruam kemerahan pada kulit, Kesulitan bernapas atau nyeri dada, Nyeri kepala atau nyeri leher yang berat, Kejang atau gangguan kesadaran, Muntah dan diare hebat, Nyeri hebat pada perut/pinggang/punggung, Sangat lemas atau gelisah, Nyeri saat berkemih, Mengalami kelemahan otot atau penurunan sensasi perabaan, Gejala lain yang tidak biasa, atau membuat cemas."
10,Diare,https://www.klikdokter.com/penyakit/masalah-pencernaan/diare,"Diare adalah kondisi di mana feses yang dikeluarkan encer atau berair dengan frekuensi lebih sering daripada biasanya. Diare biasanya muncul dengan gejala tunggal atau dikaitkan dengan gejala lain, seperti mual, muntah, sakit perut, atau penurunan berat badan. Umumnya, diare disebabkan oleh mengonsumsi makanan atau minuman yang kotor dan terkontaminasi mikroorganisme.","Diare biasanya lebih sering terjadi tak berlangsung lama, tidak lebih dari 2- 3 hari. Ketika diare berlangsung lebih dari beberapa hari hingga berminggu-minggu, biasanya menunjukkan bahwa ada masalah serius lain.","Diare yang umum terjadi bisa ditangani dengan obat-obatan yang dijual bebas. Namun, pada kasus khusus, diare bisa berlangsung berminggu-minggu dan harus mendapat terapi khusus oleh dokter yang menangani.",
