links,links-href,Deskripsi_Penyakit
Abses Anus,https://www.klikdokter.com/penyakit/masalah-pencernaan/abses-anus,"Abses anus merupakan kondisi di mana terdapat pengumpulan pus atau nanah di sekitar anus, yang disertai rasa nyeri."
Aktinik Keratosis,https://www.klikdokter.com/penyakit/masalah-kulit/aktinik-keratosis,Aktinik keratosis merupakan kondisi di mana terdapat plak yang kasar dan bersisik pada kulit
Alopecia Areata,https://www.klikdokter.com/penyakit/masalah-kulit/alopecia-areata,Alopecia areata merupakan salah satu jenis kebotakan yang cukup sering terjadi. Penyakit ini menyebabkan rambut rontok di satu area
Anemia,https://www.klikdokter.com/penyakit/gangguan-darah/anemia,Kurangnya jumlah sel darah merah dapat menyebabkan anemia. Apa penyebab dan gejala anemia? Kita simak penjelasan lengkapnya di sini.
Asam Urat,https://www.klikdokter.com/penyakit/masalah-otot-dan-sendi/asam-urat,"Asam urat (gout) adalah suatu gangguan metabolisme asam urat di dalam tubuh. Ini gejala, penyebab dan cara mengobati asam urat."
Aspergilosis,https://www.klikdokter.com/penyakit/masalah-infeksi/aspergilosis,Aspergilosis adalah istilah yang digunakan untuk menggambarkan sekumpulan penyakit yang disebabkan oleh infeksi Aspergillus.
Bakteremia,https://www.klikdokter.com/penyakit/masalah-infeksi/bakteremia,Bakteremia atau septicemia adalah infeksi serius pada peredaran darah.
Barotrauma,https://www.klikdokter.com/penyakit/masalah-tht/barotrauma,Barotrauma merupakan kerusakan telinga akibat perbedaan tekanan telinga dengan tekanan udara luar.
Batu Empedu,https://www.klikdokter.com/penyakit/masalah-pencernaan/batu-empedu,Penyakit batu empedu atau kolelitiasis adalah kondisi yang terjadi akibat adanya endapan pada kandung atau saluran empedu. Cek informasinya di sini.
Bedbugs,https://www.klikdokter.com/penyakit/masalah-kulit/bedbugs,Bedbugs (Cimex lectularis) adalah serangga parasitik. Serangga ini berwarna merah-coklat dan berukuran 1–7mm.
Biang Keringat,https://www.klikdokter.com/penyakit/masalah-kulit/biang-keringat,"Biang keringat, atau miliaria, adalah kelainan kulit yang sering muncul, khususnya di negara tropis."
Biduran,https://www.klikdokter.com/penyakit/masalah-kulit/biduran,"Penyakit biduran (urtikaria) adalah reaksi pada kulit yang menyebabkan munculnya bentol merah. Berikut gejala, penyebab, dan pengobatannya."
Bintitan,https://www.klikdokter.com/penyakit/masalah-mata/bintitan,"Definisi bintitan, atau dalam dunia medis dikenal dengan istilah hordeolum, adalah benjolan nyeri di kelopak mata (atas ataupun bawah)."
Bisul,https://www.klikdokter.com/penyakit/masalah-infeksi/bisul,Bisul (furunkel) adalah infeksi bakteri yang memicu peradangan di dalam folikel rambut (lubang tempat rambut tumbuh).
Blefaritis,https://www.klikdokter.com/penyakit/masalah-mata/blefaritis,Blefaritis adalah peradangan yang terjadi pada kelopak mata dan menyebabkan kelopak mata menjadi bengkak serta memerah
Botak,https://www.klikdokter.com/penyakit/masalah-kulit/botak,Botak atau kebotakan dikenal dengan sebutan alopecia dalam dunia medis.
Cacar Air,https://www.klikdokter.com/penyakit/masalah-kulit/cacar-air,"Cacar air adalah penyakit infeksi yang disebabkan oleh virus varisela zoster. Ketahui penyebab, gejala, dan pengobatan cacar air di sini."
Cacing Kremi,https://www.klikdokter.com/penyakit/masalah-infeksi/cacing-kremi,Cacing kremi adalah cacing jenis nematode berukuran 2–13 mm yang dapat menginfeksi saluran pencernaan manusia.
Cacingan,https://www.klikdokter.com/penyakit/masalah-pencernaan/cacingan,"Penyakit cacingan merujuk pada infeksi cacing dalam tubuh manusia. Mari ketahui penyebab, gejala, dan pengobatan cacingan berikut."
Campak,https://www.klikdokter.com/penyakit/masalah-kulit/campak,"Campak adalah infeksi yang disebabkan oleh virus. Gejala campak berupa ruam merah pada seluruh tubuh yang disertai demam, batuk, dan pilek."
Campak Jerman,https://www.klikdokter.com/penyakit/masalah-infeksi/campak-jerman,"Campak Jerman, atau dikenal pula dengan nama rubella, merupakan penyakit akibat infeksi virus rubella."
Candidiasis,https://www.klikdokter.com/penyakit/masalah-infeksi/candidiasis,Candidiasis vaginalis merupakan masalah kesehatan yang sering terjadi pada wanita.
Chikungunya,https://www.klikdokter.com/penyakit/masalah-infeksi/chikungunya,Chikungunya adalah penyakit virus yang ditularkan melalui gigitan nyamuk jenis Aedes.
Crohn's Disease,https://www.klikdokter.com/penyakit/masalah-pencernaan/crohn-disease,Crohn’s disease atau penyakit crohn adalah kondisi gangguan kesehatan kronis yang disebabkan oleh peradangan pada lapisan sistem pencernaan.
Cytomegalovirus,https://www.klikdokter.com/penyakit/masalah-infeksi/cytomegalovirus,Cytomegalovirus merupakan suatu jenis virus yang umum menginfeksi manusia. Cytomegalovirus juga dikenal dengan sebutan CMV
Darah Kental,https://www.klikdokter.com/penyakit/gangguan-darah/darah-kental,"Darah kental atau polisitemia adalah peningkatan jumlah sel darah (sel darah merah, sel darah putih, keping darah) di atas jumlah normal."
