,id,nama_obat,khasiat
0,1,Adas,sakit perut mulas perut kembung mual muntah asi diare sakit kuning jaundice nafsu makan batuk sesak napa asma nyeri haid haid tertur rematik goat susah tidur insomnia buah pelir turun orchidoptosis kolik usus turun lipat paha hernia inguinalis batu empedu pembengkakan saluran sperma epididimis penimbunan cairan kantung buah zakar hiodrokel testis keracunan tumbuhan obat jamur meningkatkan penglihatan
1,2,Ajeran,bisul gatal gatal sakit gigi sakit mata
2,13,Akar Kuning ,antioksidan antibiotik antikanker antihiperlipidemia anti inflamasi gatal gatal malaria rematik sakit kuning hepatitis menyehatkan pencernaan meningkatkan daya tahan tubuh menurunkan kadar kolesterol
3,14,Akar Wangi,bau keringat bau mulut encok pegalpegal rematik
4,15,Alamanda,disentri keracunan malaria
5,16,Alang - alang,anyang anyangan darah hipertensi demam gangguan ginjal mimisan rambut rontok
6,17,Amargo,sakit perut gangguan usus demam malaria
7,18,Andong,batuk darah haid luka pendarahan tbc tuberkolosis
8,19,Anggrek Tanah,sakit telinga
9,20,Anggur,peluruh kencing
10,21,Anjeran,sakit gigi sakit mata gatalgatal bisul
11,22,Arairut (Garut),diare radang usus penawar racun
12,23,Aren (Enau),luka batu ginjal sakit gigi sariawan pencahar
13,24,Asem Jawa,astringen demam tonik melancarkan peredaran darah pencahar menambah nafsu makan penyejuk abortivum
14,25,Avokad (Alpukat),darah hipertensi gangguan ginjal kolesterol kulit sariawan
15,26,Bambu Kuning,hepatitis kolesterol
16,27,Bandotan,disentri diare luka
17,28,Bangle,demam sakit kepala batuk sakit perut masuk angin sembelit sakit kuning cacingan rematik
18,29,Bangle Hantu (Lempuyang) ,batuk demam encok gatalgatal sakit pinggang
19,30,Baru Cina,ayan epilepsi bisul lemah syahwat
20,31,Bawang Daun,kesehatan jantung pilek demam flu kesehatan kulit diabetes cacingan infeksi luka menghambat jamur kulit basil disentri
21,32,Bawang Dayak,demam nifas mual sembelit susah kencing disentri
22,33,Bawang Merah,sakit telinga kanker kuman mulut jerawat
23,34,Bawang Putih,kanker hipertensi jantung kolesterol penyakit kulit
24,35,Bayam Duri,melancarkan asi sakit gigi bisul
25,36,Belimbing,darah susah buang air malaria batuk
26,37,Belimbing Wuluh,gondongan batuk rejan jerawat panu diabetes sariawan
27,38,Beluntas,bau badan
28,39,Bidara Laut,rematik radang kulit
29,40,Bidara Upas,batuk kanker radang paru radang usus buntu typhus sembelit muntah darah kencing manis
30,41,Biduri,demam perut penuh kaki pegal lemas gigitan ular beracun kudis luka borok sariawan gatal cacar air bisul eksim sakit gigi mencabut duri
31,42,Binahong,radang usus melancarkan menormalkan peredaran darah tekanan darah mencegah stroke asam urat maag menambah vitalitas tubuh mengatasi diabetes
32,43,Bintaro,pencahar gatalgatal rematik pilek
33,44,Blustru,pelur dahak penghenti perdarahan peluruh kencing perangsang muntah pencahar pemberantas cacing perut peluruh haid merangsang pengeluaran asi melancarkan sirkulasi darah
34,45,Brojo Lintang,asma batuk bau nafas radang amandel kerongkongan pegal linu
35,46,Brotowali,rematik demam nafsu makan jencing manis
36,47,Buah Congkok,demam nafsu makan pelancar kencing
37,48,Buah Makasar,disentr amoba mencret malaria bengkak
38,49,Buah Nona,cacingan kanker gagal ginjal demam bisul
39,50,Bugenvil,hepatitis bisul keputihan
40,51,Bun Peron,gangguan saluran kencing sakit kepala luka
41,52,Bunga Knop,asma luka terpukul koreng
42,53,Bunga Matahari,rematik disentri infeksi saluran kencing
43,54,Bunga Pagoda,wasir bisul susah tidur
44,55,Bunga Pukul Empat,radang amandel bisul jerawat meningkatkan vitalitas seksual
45,56,Bunga Tahi Kotok,radang kulit batuk sakit gigi gondongan pembengkakan payudara
46,57,Bungo Dara,kurap kudis penyakit kulit
47,58,Burahol,mencegah bau badan nafas membersihkan darah menguatkan paruparu hati
48,59,Cabai Jawa,sakit gigi radang mulut rematik luka obat kuat
49,60,Cabai Rawit,mempercepat metabolisme tubuh membantu fungsi jantung membantu pertumbuhan rambut meringankan nyeri menurunkan berat badan sakit tenggorokan hipertensi menyembuhkan infeksi mencegah kanker
50,61,Cakar Ayam,tulang patah rematik kanker batuk radang amandel
51,62,Cekugan,pencahar
52,63,Cendana,kulit jerawat antiradang gangguan pencernaan anyanganyangan stress hipertensi insomnia bau badan gatalgatal digigit serangga
53,64,Ceplukan,diabetes mellitus sakit paruparu obat bengkak borok
54,65,Ceremai,campuran jamu dahak batuk pencahar
55,66,Cincau Hijau,batuk demam bronkitis masuk angin
56,67,Cincau Rambat,diare hipertensi demam
57,68,Cocor Bebek,luka demam nyeri lambung bisul memar rematik wasir
58,69,Dahlia,diabetes
59,70,Dandang Gendis,kencing manis lemah syahwat disentri gangguan ginjal
60,71,Daun Dewa,pembengkakan payudara memar bengkak akibat tulang patah wasir gigitan hewan berbisa luka bakar tersiram air panas luka berdarah bisul radang kulit bernanah borok kutil
61,72,Daun Encok,rematik memar terkilir nyeri lambung
62,73,Daun Jinten,sariawan batuk cacingan
63,74,Daun Madu,peluruh seni rematik gigitan ular
64,75,Daun Panahan,sariawan demam sakit kepala
65,76,Daun Perak,bisul
66,77,Daun Sambang Darah,penyakit kulit disentri gangguan haid
67,78,Daun Sendok,batuk kering kencing batu cacingan wasir bisul penyakit kulit membersihkan darah luka
68,79,Daun Seribu,nyeri haid pencernaan lemah kejangkejang pendarahan
69,80,Daun Ungu,luka bengkak borok bisul penyakit kulit bengkak liver pencahar wasir batu empedu batuk darah gangguang haid
70,81,Delima,cacing pita batuk diare radang gusi pendarahan bronkitis menurunkan berat badan sariawan tenggorokan sakit suara parau tekanan darah perut kembung demam batuk
71,82,Echinacea,demam infeksi kronis saluran nafas saluran urin memulihkan sistem kekebalan tubuh melindungi tubuh infeksi
72,83,Ekor Kucing,disentri radang usus luka
73,84,Ekor Tupai,noda kulit
74,85,Gadung,kusta kutil kapalan mata ikan
75,86,Gambir,disentri diare luka luka bakar sariawan suara parau
76,87,Gandapura,demam peluruh kemih antiradang batuk susah buang air sakit kepala bisul koreng tulang patah luka bakar tersiram air panas
77,88,Gandarusa,sakit kepala rematik terkilir
78,89,Gandasuli,peluruh haid bengkak radang tenggorokan
79,90,Ganitri,sakit perut sakit dada pembengkakan limpa
80,91,Ganyong,diare pusing hepatitis
81,92,Gendola,flu bisul sembelit
82,93,Genjer,antibiotik mengurangi resiko penyakit jantung kanker keracunan jengkol
83,94,Gerbera,menenangkan urat saraf
84,95,Gingseng Jawa,bisul pelancar asi
85,96,Hahapaan,sakit perut bisul borok bengkak luka
86,97,Iler,ambeien diabetes mellitus demam diare bisul keputihan
87,98,Inggu,demam influenza batuk radang paruparu kejangkejang anak ayan kolik nyeri ulu hati dada hernia hepatitis haid teratur haid bisul radang kulit bernanah memar gigitan ular berbisa serangga keracunan obat radang vena pelebaran vena cacingan
88,99,Ipu Kayo,kolera asma rematik obat kuat
89,100,Jahe,sakit kepala rematik sakit perut pusing kolera penawar racun gigitan ular berbisa masuk angin terkilir bengkak
90,101,Jali,busung lapar kencing batu
91,102,Jambu Biji,diabetes mellitus maag luka diare
92,103,Jambu Mete,sembelit kencing manis radang tenggorokan sariawan rematik digigit ular berbisa sakit gigi sakit kulit pembersih mulut pencahar
93,104,Jarak Cina,bengkak terkilir patah tulang luka berdarah
94,105,Jarak Kaliki,sakit perut pencahar
95,106,Jarak Pagar,cacingan perut kembung luka sariawan sakit gigi
96,107,Jati Belanda,menurunkan berat badan pengatur kolesterol
97,108,Jelutung Badak,malaria demam batuk peluruh kencing
98,109,Jeruju Gunung,kanker bisul hipertensi sakit pernafasan
99,110,Jeruk Nipis,amandel batuk batuk berdahak peluruh kencing keringat membantu prose pencernaan
100,111,Jeruk Purut,flu kelelahan
101,112,Johar,cacingan sawan anakanak pencahar malaria
102,113,Jombang,luka bakar bisul radang payudara kandung empedu
103,114,Jotang,sakit gigi gusi berdarah
