"id","nama_obat","khasiat","efek_samping","deskripsi","foto_obat"
"1","Adas","Sakit Perut (Mulas), Perut Kembung, Mual, Muntah, ASI Sedikit, Diare, Sakit Kuning (Jaundice), Kurang Nafsu Makan, Batuk, Sesak Napas (Asma), Nyeri Haid, Haid Tidak Tertur, Rematik Goat, Susah Tidur (Insomnia), Buah Pelir Turun (Orchidoptosis), Kolik, Usus Turun Ke Lipat Paha (Hernia Inguinalis), Batu Empedu, Pembengkakan Saluran Sperma (Epididimis), Penimbunan Cairan Dalam Kantung Buah Zakar (Hiodrokel Testis), Keracunan Tumbuhan Obat atau Jamur, dan Meningkatkan Penglihatan.","Bagi yang sedang hamil dan menyusu jangan mengonsumsinya. Bagi anak-anak: sebaiknya tidak mengonsumsi dengan dosis yang berlebihan sebelum berkonsultasi dengan herbalis atau dokter.","Terna merumpun, tingginya 0,5 - 2 m. Batang berwarna hijau kebiru-biruan, beralur, beruas, dan berongga, bila dimemarkan keluar bau wangi yang semerbak.

Duduk daun berseling dengan daun majemuk menyirip ganda dua dengan sirip-sirip yang sempit, bentuk daun jarum, ujung daun dan pangkal daun runcing, tepi rata, mempunyai seludang berwarna putih. Untaian bunga yang ujung batang tersusun dalam bunga payung majemuk yang terdiri atas 6-40 tangkai bunga berwarna kuning.

Buah muda berwarna hijau, setelah masak berwarna coklat agak kuning sampai sepenuhnya cokelat.","https://storage.googleapis.com/herbitionalbucket/foto_obat/bentuk-tanaman-adas-Foeniculum-vulgare-sweet-fennel.jpeg"
"2","Ajeran","Bisul, Gatal Gatal, Sakit Gigi, dan Sakit Mata.","Karena rasanya yang pahit, sebaiknya tambahkan sedikit gula atau madu. Pemanfaatan ajeran dengan dosis tinggi perlu sikap hati-hati karena dapat menyebabkan iritasi ginjal.","Herba dengan tinggi 0,3 - 1 m. Batang bersegi empat hijau, dan ujungnya kadang berbulu kasar. Daun terbagi menjadi tiga dengan bentuk bulat telur pinggirannya bergerigi. Bunga bertangkai panjang, bunga tepi berwarna putih, sedangkan bunga tengahnya berwarna kuning.

Bidens pilosa (ketul) termasuk dalam famili Asteraceae yang berbentuk terna. Jenis ini umumnya ditemukan tumbuh secara liar sebagai gulma, baik di tepi jalan, di kebun, di pekarangan, maupun pada lahan terlantar.

Tumbuhan ini toleran terhadap tanah yang lembab dan daerah yang mendapat sinar matahari penuh. Terna jenis ini banyak dijumpai hingga ketinggian 2.300 meter dari permukaan laut.

Tumbuhan ini dapat berbunga sepanjang tahun. Apabila keadaan atau kondisi lingkungan sesuai, persentase perkecambahan sebesar 35-60% dalam waktu seminggu.

Kelebihan lain adalah walaupun telah tersimpan selama 3-5 tahun, daya kecambah bijinya tetap tinggi sekitar 80% biji masih mampu berkecambah.

Air rebusan atau perasan daun tumbuhan ini dapat dijadikan obat tradisional, yaitu mengobati beberapa penyakit seperti batuk, sakit kepala, demam, sakit perut, keracunan, sembelit, dan lain-lain. Sedangkan daun muda tumbuhan ini biasa digunakan sebagai bahan campuran lalapan.","https://storage.googleapis.com/herbitionalbucket/foto_obat/Ajeran-apotek-hidup-tanaman-obat-1.png"
"13","Akar Kuning ","Antioksidan, Antibiotik, Antikanker, Antihiperlipidemia, Anti Inflamasi, Gatal Gatal, Malaria, Rematik, Sakit Kuning (Hepatitis), Menyehatkan Pencernaan, Meningkatkan Daya Tahan Tubuh, dan Menurunkan Kadar Kolesterol.","Penelitian dalam jurnal Global Medical and Health Communication menyatakan bahwa akar kuning memiliki sifat beracun terhadap hati dan ginjal, terutama jika dikonsumsi dalam dosis tinggi secara berlebihan dan dalam waktu lama. Hal ini bisa memicu kerusakan ginjal dan hati. Jadi, jika ingin memanfaatkan akar kuning sebagai obat, gunakan takaran yang tepat, jangan terlalu berlebihan. Konsultasikan ke herbalist atau dokter.","Liana berkayu, panjangnya dapat mencapai 20 m, diameter batang 5 - 10 cm. Kayunya kuning dan mengeluarkan getah yang berwarna kuning pula jika dipotong.

Daun bulat dengan ukuran 10-25 cm x 5,5-19 cm, urat daun menjari lima pada pangkalnya, tangkai daun menggembung pada kedua pangkalnya, tidak berdaun penumpu.

Perbungaan malai, di ketiak daun atau di batang, warna kelopak dan mahkota kuning. Buah membulat kotak dengan tiga rusuk, kulit agak berbulu dan hijau hingga coklat kehitaman. Biji tunggal, kecil, cokelat.","https://storage.googleapis.com/herbitionalbucket/foto_obat/akar-kuning-dipotong.jpg"
"14","Akar Wangi","Bau Keringat, Bau Mulut, Encok, Pegal-Pegal, dan Rematik.","Belum ditemukan literatur yang menyebutkan adanya kontraindikasi maupun efek samping dari konsumsi akar dan daun tanaman akar wangi. Namun, sebaiknya beberapa hal ini perlu diperhatikan sebagai sikap kewaspadaan.

1. Bagi yang sedang hamil dan menyusui : jangan mengkonsumsinya.

2. Bagi anak-anak : sebaiknya tidak mengkonsumsi dengan dosis yang berlebihan sebelum berkonsultasi dengan herbalis.","Rumput yang membentuk rumpun besar, bercabang, berimpang dan sistem akar serabut. Rumpun tumbuh hingga mencapai tinggi 2 m. Daun pipih, panjang 30-75cm, dan lebar 4-10mm, permukaan bawah daun licin. 

Perbungaan berupa malai di ujung, panjang mencapai 40 cm, tersusun atas 6-10 lingkaran hingga 20 lingkaran yang lebih ramping, ruas antara tandan dengan tangkai bunga berbentuk benang, tetapi di bagian ujungnya tampak menebal.","https://storage.googleapis.com/herbitionalbucket/foto_obat/bentuk-akar-wangi-1.png"
"15","Alamanda","Disentri, Keracunan, dan Malaria.","Belum ditemukan literatur yang menyebutkan adanya kontraindikasi maupun efek samping dari konsumsi daun alamanda. Tanaman alamanda tetap menyimpan bahaya racun sehingga perlu konsultasi dengan herbalis, bila akan memanfaatkannya. Sebaiknya beberapa hal ini perlu diperhatikan sebagai sikap kewaspadaan.

1. Bagi yang sedang hamil dan menyusui: jangan mengkonsumsi daun alamanda. Bagi anak-anak: sebaiknya tidak.

2. mengonsumsi dengan dosis yang berlebihan sebelum berkonsultasi dengan herbalis atau dokter.","Tanaman perdu dengan tinggi 4-5 m, Batang berkayu, berbuku-buku, tiap buku terdapat 4-5 daun yang melingkar, bergetah. Daun tunggal, lonjong, tepi rata melipat ke bawah, ujung dan pangkal meruncing. Bunga majemuk, bentuk tandan, di ujung cabang dan ketiak daun, tangkai silindris, pendek, kuning. Buah kotak, bulat, diameter 1,5 cm.","https://storage.googleapis.com/herbitionalbucket/foto_obat/Allamanda-cathartica-2.png"
"16","Alang - alang","Anyang Anyangan, Darah Tinggi (Hipertensi), Demam, Gangguan Ginjal, Mimisan, Rambut Rontok.","Ramuan alang-alang sebaiknya tidak diberikan kepada mereka yang fungsi lambungnya lemah dan sering buang air kecil.","Jenis rumput yang tingginya bisa mencapai 2 m, rimpang kaku yang tumbuh menjalar. Batangnya padat, berbentuk silindris, berdiameter 2-3 mm, dengan ruas-ruas berambut jarang.

Daun berbentuk pita lanset berujung runcing, dengan pangkal yang menyempit dan berbentuk talang, panjang 10-80 cm, bertepi sangat kasar dan bergerigi tajam berambut panjang di pangkalnya, dengan tulang daun yang lebar dan pucat di tengahnya.

Bunga dalam bentuk malai berwarna putih dengan panjang 6-30 cm. Buah berbentuk jorong, panjang 1-2 mm, berwarna coklat tua, dan mempunyai banyak biji yang sangat kecil. Bijinya berambut halus dan mudah diterbangkan angin.","https://storage.googleapis.com/herbitionalbucket/foto_obat/alang-alang-Imperata-cylindrica-1.png"
"17","Amargo","Sakit Perut, Gangguan Usus, Demam, dan Malaria.","Belum ditemukan literatur yang menyebutkan adanya kontraindikasi maupun efek samping dari konsumsi kayu Quassia amara. Namun, sebaiknya beberapa hal ini perlu diperhatikan sebagai sikap kewaspadaan.

1. Bagi yang sedang hamil dan menyusur jangan mengonsumsi dengan memakan atau meminum melalui mulut

2. Bagi anak-anak: sebaiknya tidak mengkonsumsi dengan dosis yang berlebihan sebelum berkonsultası dengan herbalis atau dokter.","Tanaman perdu dapat mencapai tinggi 4 m. Batang tegak dan bercabang banyak. Daun majemuk, berbentuk lonjong dengan panjang 5-10 cm, ujung tumpul, pangkal membulat, permukaan halus.

Bunga majemuk di ujung percabangan, panjang hingga 20 cm, berwarna merah keunguan. Buah bulat berwarna putih kecoklatan dengan biji bulat berwarna putih.","https://storage.googleapis.com/herbitionalbucket/foto_obat/Amargo-Quassia-amara-L.-amargo-bitter-ash-bitter-wood-1.png"
"18","Andong","Batuk Darah, Haid Terlalu Banyak, Luka Pendarahan, dan TBC (Tuberkolosis).","Belum diketahui adanya ancaman bahaya dari penggunaan andong sebagai obat, tetapi tetap perlu kehati-hatian dalam pemanfaatannya terutama yang dikonsumsi langsung sebagai minuman Hentikan pemakaiannya bila terjadi gejala yang mengganggu fungsi tubuh lain.","Pohon dengan tinggi mencapai 5 m. Berbatang keras Daun tunggal menempel pada batang, terutama mengumpul di ujung batang, bentuk lanset, pangkal dan ujung runcing, tepi rata, panjang 20-60 cm, lebar 10-15 cm, pertulangan menyirip, berwarna hijau tua atau merah kecoklatan, tepi daun rata.

Perbungaan berbentuk malai, tumbuh di ketiak daun berwarna kuning atau kemerahan dan beraroma. Buah buni, berwarna merah mengkilap. Biji hitam mengkilap. Akar serabut berwarna putih kotor.","https://storage.googleapis.com/herbitionalbucket/foto_obat/andong-Cordyline-fruticosa-apotekhidup-8.png"
"19","Anggrek Tanah","Sakit Telinga.","Belum ditemukan literatur yang menyebutkan adanya kontraindikasi maupun efek samping dari konsumsi umbi anggrek tanah. Namun, sebaiknya perlu hati-hati dan waspada dalam penggunaannya.","Herba semusim dengan tinggi mencapai 1 meter. Berbatang bulat dan lunak agak berbulu, batang bagian dalam tanah membentuk umbi. Daun tunggal berbentuk lonjong dengan panjang 5-8 cm dan berujung runcing. Bunga majemuk berbentuk tandan terdapat di ujung batang, tangkai bunga silindris panjangnya 40-50 cm berwarna hijau. Buah lonjong berwarna kuning pucat dengan biji bulat kecil berwarna putih kehitaman.","https://storage.googleapis.com/herbitionalbucket/foto_obat/andong-Cordyline-fruticosa-apotekhidup-8.png"
"20","Anggur","Peluruh Kencing.","Sebelum mengonsumsi anggur sebaiknya berkonsultasi terlebih dahulu dengan dokter. Selain itu, hal lain yang perlu diperhatikan sebagai sikap kewaspadaan, yaitu sebagai berikut.

1. Bagi yang sedang hamil dan menyusui: jangan mengkonsumsinya.

2. Bagi anak-anak: sebaiknya tidak mengkonsumsi dengan dosis yang berlebihan sebelum berkonsultasi dengan herbalis atau dokter.

Konsumsi berlebihan dapat menyebabkan diare. Selain itu, ada beberapa orang yang alergi terhadap anggur dan produk anggur. Beberapa efek samping potensial lainnya termasuk sakit perut, gangguan pencernaan, mual, muntah, batuk, mulut kering, sakit tenggorokan, infeksi, sakit kepala, dan masalah otot.","Tanaman berbentuk semak menjalar yang panjangnya dapat mencapai 8 m. Batang berkayu, silindris, menjalar, berwarna hijau kecoklatan dengan permukaan halus. Daun tunggal, tersusun berseling, berwarna hijau, berbentuk bundar.","https://storage.googleapis.com/herbitionalbucket/foto_obat/anggur.png"
